accuracy,brier_score,competitions,date_end,date_start,fold,goals_log_likelihood,goals_negative_log_likelihood,log_loss,matches,ranked_probability_score
0.6428571428571429,0.4650236881319139,Copa América,2024-07-14,2024-06-20,copa_america_2024,-2.529960776839889,2.529960776839889,0.8169751066975285,28,0.158307051775099
0.5625,0.578341827012986,UEFA Euro,2024-07-14,2024-06-14,euro_2024,-2.5959490392922873,2.5959490392922873,0.9734264144473251,48,0.18891218879368155
0.6,0.5472522626143934,FIFA World Cup,2018-07-15,2018-06-14,world_cup_2018,-2.811233973658311,2.811233973658311,0.9285723783281259,60,0.20389809135696252
0.559322033898305,0.576716777277208,FIFA World Cup,2022-12-17,2022-11-20,world_cup_2022,-2.999681076042233,2.999681076042233,0.9991543518897719,59,0.216611090248935
