accuracy,brier_score,fold,goals_log_likelihood,goals_negative_log_likelihood,half_life_days,log_loss,matches,max_goals,model_type,ranked_probability_score,regularization_strength
0.5833333333333334,0.5463395014753435,world_cup_2018,-2.829485060782285,2.829485060782285,180.0,0.9334639482702086,60,10,poisson,0.2028174496498596,0.05
0.5084745762711864,0.6086912617682625,world_cup_2022,-3.1549830812503994,3.1549830812503994,180.0,1.0584223524911998,59,10,poisson,0.22893541161120895,0.05
0.5,0.6016927740977241,euro_2024,-2.6099813596888968,2.6099813596888968,180.0,1.0031234911886628,48,10,poisson,0.20229053878584705,0.05
0.6785714285714286,0.45489050583202595,copa_america_2024,-2.606856225425829,2.606856225425829,180.0,0.7887606190706685,28,10,poisson,0.1480505779390601,0.05
0.65,0.5435725632842721,world_cup_2018,-2.8084567842054255,2.8084567842054255,365.0,0.9253243604981574,60,10,poisson,0.20222148219270733,0.05
0.559322033898305,0.5913892914752785,world_cup_2022,-3.061952526994148,3.061952526994148,365.0,1.0248493517892412,59,10,poisson,0.22274463570214492,0.05
0.5416666666666666,0.5854124863086697,euro_2024,-2.601579612035406,2.601579612035406,365.0,0.9824676056628531,48,10,poisson,0.19284430978101108,0.05
0.6785714285714286,0.45138802759124064,copa_america_2024,-2.5334227459182523,2.5334227459182523,365.0,0.7958962923154402,28,10,poisson,0.15027955267888776,0.05
0.6,0.5472522626143934,world_cup_2018,-2.811233973658311,2.811233973658311,730.0,0.9285723783281259,60,10,poisson,0.20389809135696252,0.05
0.559322033898305,0.576716777277208,world_cup_2022,-2.999681076042233,2.999681076042233,730.0,0.9991543518897719,59,10,poisson,0.216611090248935,0.05
0.5625,0.578341827012986,euro_2024,-2.5959490392922873,2.5959490392922873,730.0,0.9734264144473251,48,10,poisson,0.18891218879368155,0.05
0.6428571428571429,0.4650236881319139,copa_america_2024,-2.529960776839889,2.529960776839889,730.0,0.8169751066975285,28,10,poisson,0.158307051775099,0.05
0.5833333333333334,0.5690384132356112,world_cup_2018,-2.8649431062187904,2.8649431062187904,none,0.9583333231967629,60,10,poisson,0.21278712857213214,0.05
0.6101694915254238,0.5504900598108917,world_cup_2022,-2.9380312925662437,2.9380312925662437,none,0.9513980581698139,59,10,poisson,0.20357930071485028,0.05
0.5625,0.5776845451195907,euro_2024,-2.5918575329084006,2.5918575329084006,none,0.9697286197740741,48,10,poisson,0.18773309730315016,0.05
0.6071428571428571,0.5202168675254246,copa_america_2024,-2.647991551679386,2.647991551679386,none,0.8909547054143506,28,10,poisson,0.18544811707991055,0.05
0.5833333333333334,0.5473984079055912,world_cup_2018,-2.831936567394272,2.831936567394272,180.0,0.9352756010460216,60,10,dixon_coles,0.20301004509468926,0.05
0.5084745762711864,0.6078806598636932,world_cup_2022,-3.154170173394574,3.154170173394574,180.0,1.0562557240244201,59,10,dixon_coles,0.22884284462126797,0.05
0.5,0.6011002838449812,euro_2024,-2.608026253534726,2.608026253534726,180.0,1.0023611566077564,48,10,dixon_coles,0.20219196457733943,0.05
0.6785714285714286,0.4553470634374971,copa_america_2024,-2.6067591758266966,2.6067591758266966,180.0,0.7890064522777717,28,10,dixon_coles,0.14812367346215163,0.05
0.65,0.5444108894203602,world_cup_2018,-2.810516797307336,2.810516797307336,365.0,0.9266672386684489,60,10,dixon_coles,0.2023624220885737,0.05
0.559322033898305,0.5910446203130838,world_cup_2022,-3.0618074389043537,3.0618074389043537,365.0,1.0238562897914938,59,10,dixon_coles,0.22270916439818217,0.05
0.5416666666666666,0.5851371584231299,euro_2024,-2.60062310849556,2.60062310849556,365.0,0.9820346152790919,48,10,dixon_coles,0.19279927150124251,0.05
0.6785714285714286,0.45151722503711594,copa_america_2024,-2.5334310349427898,2.5334310349427898,365.0,0.7959737296415875,28,10,dixon_coles,0.15029316088100453,0.05
0.6,0.5481340296434644,world_cup_2018,-2.8132995082389987,2.8132995082389987,730.0,0.9299234983872771,60,10,dixon_coles,0.20406669380883616,0.05
0.559322033898305,0.5766213082663078,world_cup_2022,-2.9996518637545786,2.9996518637545786,730.0,0.9988830732106255,59,10,dixon_coles,0.21659738747533808,0.05
0.5625,0.5781803132747126,euro_2024,-2.5954163986794376,2.5954163986794376,730.0,0.9731725136288315,48,10,dixon_coles,0.18888464586239104,0.05
0.6428571428571429,0.46510284652337663,copa_america_2024,-2.529946150360417,2.529946150360417,730.0,0.817046674045496,28,10,dixon_coles,0.1583191736715051,0.05
0.5833333333333334,0.5700958973860543,world_cup_2018,-2.8670705384436683,2.8670705384436683,none,0.9599084099568528,60,10,dixon_coles,0.21296093699694177,0.05
0.6101694915254238,0.5510268216142112,world_cup_2022,-2.938343198900365,2.938343198900365,none,0.9524504044548741,59,10,dixon_coles,0.2036752479204698,0.05
0.5625,0.5773304765570804,euro_2024,-2.590344262770698,2.590344262770698,none,0.969112270132638,48,10,dixon_coles,0.18767121633928951,0.05
0.6071428571428571,0.5206122787458908,copa_america_2024,-2.6483839450066395,2.6483839450066395,none,0.8915720902669583,28,10,dixon_coles,0.18551915232518917,0.05
