brier_delta_vs_elo,competitions,date_end,date_start,elo_brier_score,elo_log_loss,elo_ranked_probability_score,fold,log_loss_delta_vs_elo,matches,poisson_brier_score,poisson_goals_log_likelihood,poisson_log_loss,poisson_ranked_probability_score,rps_delta_vs_elo
0.022562407032848397,Copa América,2024-07-14,2024-06-20,0.4424612810990655,0.7790367546733273,0.15254757145376716,copa_america_2024,0.03793835202420115,28,0.4650236881319139,-2.529960776839889,0.8169751066975285,0.158307051775099,0.0057594803213318335
-0.03645765587910477,UEFA Euro,2024-07-14,2024-06-14,0.6147994828920907,1.0321358383956158,0.20054676353995218,euro_2024,-0.05870942394829071,48,0.578341827012986,-2.5959490392922873,0.9734264144473251,0.18891218879368155,-0.011634574746270637
-0.023195182804332415,FIFA World Cup,2018-07-15,2018-06-14,0.5704474454187258,0.9577978534931647,0.21879312694366818,world_cup_2018,-0.029225475165038817,60,0.5472522626143934,-2.811233973658311,0.9285723783281259,0.20389809135696252,-0.014895035586705657
-0.025366396188458484,FIFA World Cup,2022-12-17,2022-11-20,0.6020831734656665,1.019243752807535,0.23201759692225407,world_cup_2022,-0.020089400917763234,59,0.576716777277208,-2.999681076042233,0.9991543518897719,0.216611090248935,-0.015406506673319081
