brier_score,competitions,date_end,date_start,fold,goals_log_likelihood,log_loss,matches,model,ranked_probability_score
0.46510284652337663,Copa América,2024-07-14,2024-06-20,copa_america_2024,-2.529946150360417,0.817046674045496,28,dixon_coles,0.1583191736715051
0.5781803132747126,UEFA Euro,2024-07-14,2024-06-14,euro_2024,-2.5954163986794376,0.9731725136288315,48,dixon_coles,0.18888464586239104
0.5481340296434644,FIFA World Cup,2018-07-15,2018-06-14,world_cup_2018,-2.8132995082389987,0.9299234983872771,60,dixon_coles,0.20406669380883616
0.5766213082663078,FIFA World Cup,2022-12-17,2022-11-20,world_cup_2022,-2.9996518637545786,0.9988830732106255,59,dixon_coles,0.21659738747533808
0.4424612810990655,Copa América,2024-07-14,2024-06-20,copa_america_2024,,0.7790367546733273,28,elo,0.15254757145376716
0.6147994828920907,UEFA Euro,2024-07-14,2024-06-14,euro_2024,,1.0321358383956158,48,elo,0.20054676353995218
0.5704474454187258,FIFA World Cup,2018-07-15,2018-06-14,world_cup_2018,,0.9577978534931647,60,elo,0.21879312694366818
0.6020831734656665,FIFA World Cup,2022-12-17,2022-11-20,world_cup_2022,,1.019243752807535,59,elo,0.23201759692225407
0.4650236881319139,Copa América,2024-07-14,2024-06-20,copa_america_2024,-2.529960776839889,0.8169751066975285,28,poisson,0.158307051775099
0.578341827012986,UEFA Euro,2024-07-14,2024-06-14,euro_2024,-2.5959490392922873,0.9734264144473251,48,poisson,0.18891218879368155
0.5472522626143934,FIFA World Cup,2018-07-15,2018-06-14,world_cup_2018,-2.811233973658311,0.9285723783281259,60,poisson,0.20389809135696252
0.576716777277208,FIFA World Cup,2022-12-17,2022-11-20,world_cup_2022,-2.999681076042233,0.9991543518897719,59,poisson,0.216611090248935
