brier_score_delta,competition,fold,log_loss_delta,match_date,match_id,model_a,model_b,pair,ranked_probability_score_delta
-0.4497469298490483,UEFA Euro,euro_2024,-0.7095815964630285,2024-06-19,international_results_csv-8fd8c14dd0cbc763278d,poisson,elo,poisson_minus_elo,-0.12381062367881301
-0.13774584816103796,UEFA Euro,euro_2024,-0.2376107638880376,2024-06-26,international_results_csv-907df97a123fa51e2aa5,poisson,elo,poisson_minus_elo,-0.02158193874813996
0.12429335296729264,Copa América,copa_america_2024,0.18302033728141248,2024-06-24,international_results_csv-90b913a78e6db81750cf,poisson,elo,poisson_minus_elo,0.04018857057888603
-0.03037112827397144,UEFA Euro,euro_2024,-0.049792996080962215,2024-06-22,international_results_csv-917e94482d304004e95f,poisson,elo,poisson_minus_elo,-0.015248376101751226
-0.17849116529350878,FIFA World Cup,world_cup_2018,-0.24493565493673058,2018-06-14,international_results_csv-9211415def4a2a518ae5,poisson,elo,poisson_minus_elo,-0.08082821545987302
-0.015705693701437706,FIFA World Cup,world_cup_2018,-0.027387856234878383,2018-06-18,international_results_csv-926cd3d892bf57860297,poisson,elo,poisson_minus_elo,-0.01283450510176204
-0.035675747722659024,FIFA World Cup,world_cup_2018,-0.03586347742316287,2018-07-06,international_results_csv-949d0947c96b819ca878,poisson,elo,poisson_minus_elo,-0.029271392403963176
-0.24999063297262913,UEFA Euro,euro_2024,-0.3718618980722359,2024-06-20,international_results_csv-94f0a2eadb71e4c7cf8b,poisson,elo,poisson_minus_elo,-0.05842253629821201
-0.19090037265548987,FIFA World Cup,world_cup_2022,-0.2955862648000913,2022-11-25,international_results_csv-9abe840e02d1f5251cd0,poisson,elo,poisson_minus_elo,-0.04512152633128719
0.023827146938374122,FIFA World Cup,world_cup_2018,0.03378123659024812,2018-06-23,international_results_csv-9de7492b83a49078ffc6,poisson,elo,poisson_minus_elo,-0.0011760111851517596
