accuracy,brier_score,calibration_error,competition_weight_profile,fold,home_advantage,inactivity_regression,k_base,log_loss,margin_of_victory,matches,method,ranked_probability_score
0.55,0.5811369800693211,0.08549817673629086,default,world_cup_2018,50.0,off,15.0,0.9727151860883947,off,60,elo_simple,0.2237925332477791
0.4745762711864407,0.6087689700635429,0.11178269848361928,default,world_cup_2022,50.0,off,15.0,1.034145335985957,off,59,elo_simple,0.23241824849409612
0.5208333333333334,0.6058748445319614,0.10704604808393203,default,euro_2024,50.0,off,15.0,1.0195618178953965,off,48,elo_simple,0.197416131326956
0.6785714285714286,0.4645698452862362,0.13287910582123888,default,copa_america_2024,50.0,off,15.0,0.8175794160840868,off,28,elo_simple,0.1578695195362119
0.5166666666666667,0.5830140951733829,0.10024075191490854,default,world_cup_2018,50.0,off,15.0,0.9749365408084159,off,60,ordinal_logistic,0.2253056351036493
0.5084745762711864,0.6127476167005239,0.07802514263180618,default,world_cup_2022,50.0,off,15.0,1.0311656584098512,off,59,ordinal_logistic,0.23737183650999183
0.5,0.6165163095200974,0.1416772042973433,default,euro_2024,50.0,off,15.0,1.0353926032116687,off,48,ordinal_logistic,0.2010527602297468
0.6785714285714286,0.4330005610705236,0.11956536844371242,default,copa_america_2024,50.0,off,15.0,0.7656102816406334,off,28,ordinal_logistic,0.1489482051688636
0.55,0.5823563611160779,0.09954340124190253,default,world_cup_2018,50.0,off,15.0,0.973853794060274,off,60,multinomial_logistic,0.2251453267455886
0.4915254237288136,0.6152908310818744,0.0926698458781564,default,world_cup_2022,50.0,off,15.0,1.0479786230725505,off,59,multinomial_logistic,0.23815466605730698
0.5,0.6154379122948058,0.12886209862070233,default,euro_2024,50.0,off,15.0,1.0361353118776178,off,48,multinomial_logistic,0.20085811976756165
0.6785714285714286,0.43536678027091813,0.12110616057791206,default,copa_america_2024,50.0,off,15.0,0.7703821965043869,off,28,multinomial_logistic,0.1487993827199461
0.55,0.5816199009564096,0.08553349899487907,default,world_cup_2018,50.0,two_years_10pct,15.0,0.9733790704969026,off,60,elo_simple,0.22403399369132332
0.4745762711864407,0.6092015640541676,0.11181365071640792,default,world_cup_2022,50.0,two_years_10pct,15.0,1.0344445075399527,off,59,elo_simple,0.23263454548940843
0.5208333333333334,0.6058662178499271,0.10699570103160139,default,euro_2024,50.0,two_years_10pct,15.0,1.019554500971479,off,48,elo_simple,0.1974118179859388
0.6785714285714286,0.4651976982582106,0.1264559936719485,default,copa_america_2024,50.0,two_years_10pct,15.0,0.8184712547297915,off,28,elo_simple,0.15818344602219916
0.5166666666666667,0.5835750339883725,0.09481806322043858,default,world_cup_2018,50.0,two_years_10pct,15.0,0.9756111168235184,off,60,ordinal_logistic,0.22563055109375332
0.5084745762711864,0.6132983154702344,0.08364126567007359,default,world_cup_2022,50.0,two_years_10pct,15.0,1.0318044600212113,off,59,ordinal_logistic,0.23761591516471398
0.5,0.6169198461928419,0.1421527211449419,default,euro_2024,50.0,two_years_10pct,15.0,1.0361202900983046,off,48,ordinal_logistic,0.20115799543156565
0.6785714285714286,0.4336643041671673,0.1200123078685074,default,copa_america_2024,50.0,two_years_10pct,15.0,0.766441941637572,off,28,ordinal_logistic,0.14925461810564447
0.55,0.5828564235052821,0.1016327572701844,default,world_cup_2018,50.0,two_years_10pct,15.0,0.9745770480536156,off,60,multinomial_logistic,0.22537856142509521
0.5084745762711864,0.6158864790145703,0.08562314861074412,default,world_cup_2022,50.0,two_years_10pct,15.0,1.0485215745686618,off,59,multinomial_logistic,0.23843038483063447
0.5,0.6156637023118144,0.1276815613835456,default,euro_2024,50.0,two_years_10pct,15.0,1.0365748535641144,off,48,multinomial_logistic,0.2009312481709756
0.6785714285714286,0.43596145811007453,0.12050595288873923,default,copa_america_2024,50.0,two_years_10pct,15.0,0.7711450825673222,off,28,multinomial_logistic,0.1490852548575015
0.5666666666666667,0.5751143075493599,0.10990917395930357,default,world_cup_2018,50.0,off,15.0,0.9649270029672744,modest,60,elo_simple,0.22078119698779852
0.5254237288135594,0.6096669212855522,0.07802045862873823,default,world_cup_2022,50.0,off,15.0,1.0396614528314616,modest,59,elo_simple,0.2328672241051008
0.5416666666666666,0.6036068744508161,0.10131390804188319,default,euro_2024,50.0,off,15.0,1.0167561715901476,modest,48,elo_simple,0.1962821462863833
0.6785714285714286,0.45899452965764326,0.12500447078833055,default,copa_america_2024,50.0,off,15.0,0.8082196524101223,modest,28,elo_simple,0.15508186172191546
0.55,0.5765957779836526,0.10717666379906345,default,world_cup_2018,50.0,off,15.0,0.9660118865593534,modest,60,ordinal_logistic,0.2222684624597656
0.5084745762711864,0.6142309638621549,0.08157848430831838,default,world_cup_2022,50.0,off,15.0,1.0321167036811365,modest,59,ordinal_logistic,0.23807159040845288
0.5,0.6143993437780448,0.13300525583763834,default,euro_2024,50.0,off,15.0,1.0311072631056482,modest,48,ordinal_logistic,0.20011967910253894
0.6785714285714286,0.43391375083192096,0.10159529781930117,default,copa_america_2024,50.0,off,15.0,0.7680810082482469,modest,28,ordinal_logistic,0.14894276330927214
0.5333333333333333,0.5755622940865065,0.09349950766651116,default,world_cup_2018,50.0,off,15.0,0.9643415052009777,modest,60,multinomial_logistic,0.2219520611382678
0.5084745762711864,0.6172222251223048,0.09176037540070213,default,world_cup_2022,50.0,off,15.0,1.0494062947521399,modest,59,multinomial_logistic,0.23904624419669035
0.5,0.6134001260746641,0.127101213014118,default,euro_2024,50.0,off,15.0,1.0318302742745658,modest,48,multinomial_logistic,0.19997111107623053
0.6785714285714286,0.43597490546736856,0.12311484834214363,default,copa_america_2024,50.0,off,15.0,0.7718163157122309,modest,28,multinomial_logistic,0.14871334173906275
0.5666666666666667,0.5756864224496169,0.11007814779504775,default,world_cup_2018,50.0,two_years_10pct,15.0,0.9657086591229603,modest,60,elo_simple,0.22106725443792694
0.5084745762711864,0.6102717109986268,0.06852261389806548,default,world_cup_2022,50.0,two_years_10pct,15.0,1.0400999062742953,modest,59,elo_simple,0.23316961896163796
0.5416666666666666,0.6035848780647011,0.10096587550807977,default,euro_2024,50.0,two_years_10pct,15.0,1.0167230505237692,modest,48,elo_simple,0.1962711480933258
0.6785714285714286,0.4597348433539639,0.12506782910730116,default,copa_america_2024,50.0,two_years_10pct,15.0,0.8093013523663685,modest,28,elo_simple,0.15545201857007585
0.55,0.5771703848231613,0.10721465206666347,default,world_cup_2018,50.0,two_years_10pct,15.0,0.9668582580111438,modest,60,ordinal_logistic,0.22252281629643236
0.5084745762711864,0.6150451121129756,0.07673332892919821,default,world_cup_2022,50.0,two_years_10pct,15.0,1.033092720023293,modest,59,ordinal_logistic,0.2384464839174677
0.5,0.6146638989680483,0.13315617440014269,default,euro_2024,50.0,two_years_10pct,15.0,1.0316040128768664,modest,48,ordinal_logistic,0.2002055400414052
0.6785714285714286,0.4346258789119473,0.1087151581371576,default,copa_america_2024,50.0,two_years_10pct,15.0,0.7689888508816748,modest,28,ordinal_logistic,0.14927351885824455
0.5333333333333333,0.5762517544285476,0.09363331797235169,default,world_cup_2018,50.0,two_years_10pct,15.0,0.965321500122723,modest,60,multinomial_logistic,0.2222807258233029
0.5084745762711864,0.6180304614298591,0.09203040755137774,default,world_cup_2022,50.0,two_years_10pct,15.0,1.0504097294027885,modest,59,multinomial_logistic,0.23941802560969114
0.5,0.6135238798924352,0.12729542819031062,default,euro_2024,50.0,two_years_10pct,15.0,1.0321032738078608,modest,48,multinomial_logistic,0.2000291218401089
0.6785714285714286,0.43654154254453664,0.12302741091221363,default,copa_america_2024,50.0,two_years_10pct,15.0,0.7725212046469968,modest,28,multinomial_logistic,0.14898792973784475
0.5833333333333334,0.5800131799090033,0.09278222101824761,compressed,world_cup_2018,50.0,off,15.0,0.9695228661529488,off,60,elo_simple,0.22323063316762015
0.5423728813559322,0.5913008736637283,0.08022856574846432,compressed,world_cup_2022,50.0,off,15.0,1.0046021048534324,off,59,elo_simple,0.22368420029418878
0.5625,0.6066955843289601,0.11011775675223352,compressed,euro_2024,50.0,off,15.0,1.0209641696774605,off,48,elo_simple,0.1978265012254553
0.6785714285714286,0.4831975037836442,0.15375565577402947,compressed,copa_america_2024,50.0,off,15.0,0.8422475731186071,off,28,elo_simple,0.16718334878491592
0.5666666666666667,0.5814079129920712,0.085920131360199,compressed,world_cup_2018,50.0,off,15.0,0.973426097642696,off,60,ordinal_logistic,0.22376905100529723
0.559322033898305,0.5889961793652861,0.06265123438101927,compressed,world_cup_2022,50.0,off,15.0,1.001416406715617,off,59,ordinal_logistic,0.22555878341618685
0.5416666666666666,0.6188290134255524,0.15185539935710485,compressed,euro_2024,50.0,off,15.0,1.040584915212616,off,48,ordinal_logistic,0.2017793229078982
0.6785714285714286,0.45004633756847445,0.1385112447442529,compressed,copa_america_2024,50.0,off,15.0,0.7876161304147574,off,28,ordinal_logistic,0.15664000426937652
0.5833333333333334,0.5809481196730837,0.08493736623752357,compressed,world_cup_2018,50.0,off,15.0,0.971497129237934,off,60,multinomial_logistic,0.22379784699776806
0.5423728813559322,0.5906303397050724,0.09116488818430635,compressed,world_cup_2022,50.0,off,15.0,1.017901412637109,off,59,multinomial_logistic,0.22582958233012704
0.5625,0.61667333699864,0.14686002953966373,compressed,euro_2024,50.0,off,15.0,1.0414840559194156,off,48,multinomial_logistic,0.2014303222718287
0.6785714285714286,0.45258020633643914,0.1419228053194308,compressed,copa_america_2024,50.0,off,15.0,0.7927279882973669,off,28,multinomial_logistic,0.15674759420050027
0.5833333333333334,0.5803037847114697,0.09615916149870352,compressed,world_cup_2018,50.0,two_years_10pct,15.0,0.9699234279315513,off,60,elo_simple,0.22337593556885335
0.5423728813559322,0.591550513479891,0.08028128571322576,compressed,world_cup_2022,50.0,two_years_10pct,15.0,1.0047485567935048,off,59,elo_simple,0.22380902020227014
0.5625,0.6066923659386333,0.11010495305846697,compressed,euro_2024,50.0,two_years_10pct,15.0,1.0209589053367027,off,48,elo_simple,0.19782489203029194
0.6785714285714286,0.4837013790301404,0.1539132185618757,compressed,copa_america_2024,50.0,two_years_10pct,15.0,0.8429414548871074,off,28,elo_simple,0.16743528640816402
0.5666666666666667,0.5820722742417925,0.08660193828912416,compressed,world_cup_2018,50.0,two_years_10pct,15.0,0.9744349460640288,off,60,ordinal_logistic,0.22403348380669047
0.559322033898305,0.5893416627716627,0.06035040706445074,compressed,world_cup_2022,50.0,two_years_10pct,15.0,1.0017804429509543,off,59,ordinal_logistic,0.2257008361131846
0.5416666666666666,0.6191935092562774,0.14773015679884507,compressed,euro_2024,50.0,two_years_10pct,15.0,1.041277335163382,off,48,ordinal_logistic,0.2018666359488773
