accuracy,brier_score,calibration_error,evaluation_set,log_loss,matches,ranked_probability_score,segment,segment_value
0.5794871794871795,0.572559205175344,0.04728823843275537,validation,0.9690194974311651,195,0.20879078197772444,friendly_official,official
0.7142857142857143,0.5003367913560594,0.21927281301410315,validation,0.8580295215191092,14,0.20650309473511302,neutral,False
0.569060773480663,0.5781454692276643,0.048680958004106954,validation,0.9776043574464623,181,0.20896773016223583,neutral,True
0.5833333333333334,0.5704474454187258,0.10298436281000627,validation,0.9577978534931647,60,0.21879312694366818,year,2018
0.559322033898305,0.6020831734656665,0.07179791185329018,validation,1.019243752807535,59,0.23201759692225407,year,2022
0.5921052631578947,0.5513064611788709,0.09694007834903079,validation,0.9388888075505627,76,0.1828628506660946,year,2024
0.5142857142857142,0.6239338818284537,0.06042874336885403,validation,1.0332942268097578,35,0.22450978425528872,elo_difference,-150_to_-50
0.7368421052631579,0.4251285262454633,0.05034141475826934,validation,0.7652006077076884,19,0.1661719952519774,elo_difference,-300_to_-150
0.5,0.6310001224294701,0.09895395760513116,validation,1.047370601090992,42,0.2259098153234385,elo_difference,-50_to_50
0.6923076923076923,0.4654961061782245,0.027213066046391662,validation,0.8159328906714376,39,0.15812919749023538,elo_difference,150_to_300
0.5238095238095238,0.6184288224619661,0.06415561666209797,validation,1.030304541179329,42,0.23174679206076967,elo_difference,50_to_150
0.6,0.6676682337870165,0.24721072050865003,validation,1.194560365486375,5,0.33014349986463765,elo_difference,<-300
0.6153846153846154,0.5973240116312484,0.1595427224598093,validation,1.0152424596398584,13,0.20459680118111415,elo_difference,>300
0.6785714285714286,0.4424612810990655,0.10709009138306785,validation,0.7790367546733273,28,0.15254757145376716,tournament,Copa América
0.5714285714285714,0.5861323862151082,0.06833557364992439,validation,0.9882626271028103,119,0.22534979693305113,tournament,FIFA World Cup
0.5416666666666666,0.6147994828920907,0.13295615520147874,validation,1.0321358383956158,48,0.20054676353995218,tournament,UEFA Euro
0.5769230769230769,0.52649482652635,0.04756330043113865,holdout_2026,0.8866290327905085,208,0.16916565159219396,friendly_official,friendly
0.6708860759493671,0.48235392483774414,0.111159818318306,holdout_2026,0.8440705546707176,79,0.1898010702850806,friendly_official,official
0.6449704142011834,0.48638021110846397,0.0379782022078245,holdout_2026,0.827626109948147,169,0.16113330874773837,neutral,False
0.5423728813559322,0.55439515510451,0.078546145776831,holdout_2026,0.9426406784591157,118,0.19448483818076207,neutral,True
0.6027874564459931,0.514344543483145,0.03876309546088982,holdout_2026,0.8749143297540504,287,0.1748457842637551,year,2026
0.425,0.6360819084820524,0.08114810693289926,holdout_2026,1.048883553090338,40,0.2208999571832651,elo_difference,-150_to_-50
0.6470588235294118,0.5559360474928559,0.13265987304952961,holdout_2026,0.9467492647174391,17,0.17848718838385239,elo_difference,-300_to_-150
0.4406779661016949,0.6399641716931844,0.062199881874613415,holdout_2026,1.0561190420674593,59,0.22661815490666443,elo_difference,-50_to_50
0.7307692307692307,0.41402315435179915,0.05850637094636533,holdout_2026,0.7190069804107636,52,0.1211824415412083,elo_difference,150_to_300
0.5483870967741935,0.5823991125199065,0.04860763925792063,holdout_2026,0.9804484634968604,62,0.21149513246421262,elo_difference,50_to_150
0.8571428571428571,0.2355646919611549,0.1423828546109586,holdout_2026,0.48695068563243094,7,0.11100608600560503,elo_difference,<-300
0.82,0.3135581371369643,0.03931443642343987,holdout_2026,0.5830897403206063,50,0.09497521358770342,elo_difference,>300
0.7692307692307693,0.30485439424727406,0.16397671115904414,holdout_2026,0.5763278237176,13,0.1329189580782943,tournament,African Cup of Nations
0.6666666666666666,0.38610901033213585,0.3155248987291497,holdout_2026,0.684549898936241,3,0.17967398555780392,tournament,Baltic Cup
0.25,0.8477402044944449,0.47100111877056294,holdout_2026,1.2764983110787027,4,0.4112405928251661,tournament,Diamond Jubilee International Football Tournament
0.7407407407407407,0.37630166199359133,0.17267331178852452,holdout_2026,0.6998302564375813,27,0.17963836256176247,tournament,FIFA Series
0.55,0.7120076570021809,0.2645956885043998,holdout_2026,1.1972323885811293,20,0.1999381123069599,tournament,FIFA World Cup
0.75,0.43277225617687104,0.2153208668541006,holdout_2026,0.7658003728414225,12,0.18611297785189004,tournament,FIFA World Cup qualification
0.5769230769230769,0.52649482652635,0.04756330043113865,holdout_2026,0.8866290327905085,208,0.16916565159219396,tournament,Friendly
