ablation_a,brier_score_delta,competition,fold,log_loss_delta,match_date,match_id,model_a,model_b,pair,ranked_probability_score_delta
contextual_logistic,0.1215075775,UEFA Euro,euro_2024,0.2035554023,2024-06-26,international_results_csv-907df97a123fa51e2aa5,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0198109096
contextual_logistic,-0.0607960127,Copa América,copa_america_2024,-0.0802835228,2024-06-24,international_results_csv-90b913a78e6db81750cf,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0173347794
contextual_logistic,0.0269816702,UEFA Euro,euro_2024,0.0426149191,2024-06-22,international_results_csv-917e94482d304004e95f,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0106417274
contextual_logistic,0.0160689321,FIFA World Cup,world_cup_2018,0.0237558872,2018-06-14,international_results_csv-9211415def4a2a518ae5,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0084821778
contextual_logistic,-0.0565310285,FIFA World Cup,world_cup_2018,-0.0919264584,2018-06-18,international_results_csv-926cd3d892bf57860297,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0224996602
contextual_logistic,-0.0381985207,FIFA World Cup,world_cup_2018,-0.0683271139,2018-07-06,international_results_csv-949d0947c96b819ca878,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0006712483
contextual_logistic,0.1076541117,UEFA Euro,euro_2024,0.1180110620,2024-06-20,international_results_csv-94f0a2eadb71e4c7cf8b,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0308411275
contextual_logistic,-0.0018525981,FIFA World Cup,world_cup_2022,-0.0005916951,2022-11-25,international_results_csv-9abe840e02d1f5251cd0,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0008147199
contextual_logistic,-0.0625324742,FIFA World Cup,world_cup_2018,-0.0833861763,2018-06-23,international_results_csv-9de7492b83a49078ffc6,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0221563478
contextual_logistic,0.0690289475,FIFA World Cup,world_cup_2018,0.1230489189,2018-06-24,international_results_csv-a2fc1a4244d90c0c330f,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0103048228
contextual_logistic,-0.0871188043,UEFA Euro,euro_2024,-0.1246795862,2024-06-15,international_results_csv-a32e3412f868dc2973fe,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0310132299
contextual_logistic,0.0832495952,Copa América,copa_america_2024,0.1181716421,2024-06-26,international_results_csv-a34dd70bd3878672430b,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0447960006
contextual_logistic,-0.1063813066,FIFA World Cup,world_cup_2022,-0.1510060169,2022-12-04,international_results_csv-a4541c399fbb00659c3b,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0335293284
