ablation,accuracy,brier_score,calibration_error,log_loss,matches,mean_true_probability,model_name,ranked_probability_score,segment,segment_value
poisson_official,0.6000000000,0.5472522626,0.1240695569,0.9285723783,60,0.4264986546,poisson_goal_v1,0.2038980914,year,2018
poisson_official,0.5593220339,0.5767167773,0.1005491005,0.9991543519,59,0.4228087566,poisson_goal_v1,0.2166110902,year,2022
poisson_official,0.5921052632,0.5365930390,0.0719435918,0.9157864590,76,0.4496827419,poisson_goal_v1,0.1776366120,year,2024
lgbm_contextual,0.6785714286,0.4308770984,0.1287357036,0.7699051005,28,0.5330691486,contextual_lgbm_v1,0.1455868512,tournament,Copa América
lgbm_contextual,0.5966386555,0.5644877781,0.0698388591,0.9629331413,119,0.4458280632,contextual_lgbm_v1,0.2156814007,tournament,FIFA World Cup
lgbm_contextual,0.5208333333,0.5928274912,0.1588291527,0.9803643230,48,0.4399626787,contextual_lgbm_v1,0.1938896107,tournament,UEFA Euro
lgbm_stack,0.6785714286,0.4351830482,0.0907233738,0.7859773144,28,0.5290749270,contextual_lgbm_v1,0.1458753018,tournament,Copa América
lgbm_stack,0.5966386555,0.5786635890,0.0910149755,0.9860463049,119,0.4345427233,contextual_lgbm_v1,0.2197426845,tournament,FIFA World Cup
lgbm_stack,0.5208333333,0.6088873404,0.1466583165,1.0066629979,48,0.4168903488,contextual_lgbm_v1,0.1995469091,tournament,UEFA Euro
contextual_logistic,0.6428571429,0.4411405001,0.1026372474,0.7842009776,28,0.5198487049,contextual_logit_v1,0.1501952393,tournament,Copa América
contextual_logistic,0.5798319328,0.5619230953,0.0629610102,0.9553689444,119,0.4386910662,contextual_logit_v1,0.2151278627,tournament,FIFA World Cup
contextual_logistic,0.5416666667,0.5887470901,0.0930433122,0.9859774770,48,0.4248710453,contextual_logit_v1,0.1913695515,tournament,UEFA Euro
logistic_stack,0.6428571429,0.4366865442,0.0968115352,0.7773377631,28,0.5200390928,contextual_logit_v1,0.1477543588,tournament,Copa América
logistic_stack,0.6050420168,0.5677309142,0.0859175418,0.9711367473,119,0.4436069657,contextual_logit_v1,0.2163071197,tournament,FIFA World Cup
logistic_stack,0.5625000000,0.5916090843,0.1228090604,0.9912932357,48,0.4206664153,contextual_logit_v1,0.1926442611,tournament,UEFA Euro
poisson_official,0.6428571429,0.4650236881,0.1337753339,0.8169751067,28,0.5003484200,poisson_goal_v1,0.1583070518,tournament,Copa América
poisson_official,0.5798319328,0.5618607195,0.0994081168,0.9635668022,119,0.4246692094,poisson_goal_v1,0.2102011748,tournament,FIFA World Cup
poisson_official,0.5625000000,0.5783418270,0.0864692973,0.9734264144,48,0.4201277630,poisson_goal_v1,0.1889121888,tournament,UEFA Euro
lgbm_contextual,0.5897435897,0.5522785842,0.0541472071,0.9395070468,195,0.4569112014,contextual_lgbm_v1,0.2002524094,stage,unknown
lgbm_stack,0.5897435897,0.5655009476,0.0836640316,0.9623933281,195,0.4437713783,contextual_lgbm_v1,0.2041648182,stage,unknown
contextual_logistic,0.5794871795,0.5511827829,0.0480920982,0.9383253880,195,0.4469426194,contextual_logit_v1,0.1999560043,stage,unknown
logistic_stack,0.6000000000,0.5547919901,0.0510396729,0.9482707980,195,0.4489349305,contextual_logit_v1,0.2006389427,stage,unknown
poisson_official,0.5846153846,0.5520128030,0.0620194915,0.9449447197,195,0.4344180733,poisson_goal_v1,0.1975093452,stage,unknown
lgbm_contextual,1.0000000000,0.2644106244,0.2476387691,0.5215915543,115,0.6089413134,contextual_lgbm_v1,0.1123348807,favorite,favorite
lgbm_contextual,0.0000000000,0.9660887765,0.3290239872,1.5402605673,80,0.2383679153,contextual_lgbm_v1,0.3266338569,favorite,non_favorite
lgbm_stack,1.0000000000,0.2850930868,0.2549547124,0.5533981886,115,0.5906666641,contextual_lgbm_v1,0.1224772483,favorite,favorite
lgbm_stack,0.0000000000,0.9685872475,0.3200691846,1.5503238412,80,0.2326094050,contextual_lgbm_v1,0.3215906999,favorite,non_favorite
contextual_logistic,1.0000000000,0.2736056858,0.2602249809,0.5425965940,113,0.5951318182,contextual_logit_v1,0.1167502185,favorite,favorite
contextual_logistic,0.0000000000,0.9336975631,0.3333870686,1.4836589700,82,0.2427306748,contextual_logit_v1,0.3146176360,favorite,non_favorite
logistic_stack,1.0000000000,0.2754887778,0.2522856969,0.5446040826,117,0.5954406872,contextual_logit_v1,0.1183583914,favorite,favorite
logistic_stack,0.0000000000,0.9737468085,0.3462355372,1.5537708710,78,0.2291762954,contextual_logit_v1,0.3240597697,favorite,non_favorite
poisson_official,1.0000000000,0.3116726078,0.2584487805,0.5986602261,114,0.5634874457,poisson_goal_v1,0.1268575287,favorite,favorite
poisson_official,0.0000000000,0.8902693740,0.2847229677,1.4323080810,81,0.2527648825,poisson_goal_v1,0.2969452352,favorite,non_favorite
lgbm_contextual,0.6666666667,0.5193947520,0.1457768243,0.8812889597,21,0.4844889310,contextual_lgbm_v1,0.1651038998,congestion,none
lgbm_contextual,0.5823529412,0.5614563155,0.0605801455,0.9553023183,170,0.4498901488,contextual_lgbm_v1,0.2055773842,congestion,one_match_last_7d
lgbm_contextual,0.5000000000,0.3348651237,0.2596514307,0.5738529669,4,0.6105228539,contextual_lgbm_v1,0.1584706550,congestion,two_plus_matches_last_7d
lgbm_stack,0.6666666667,0.5224060145,0.1365944299,0.9008538670,21,0.4779289934,contextual_lgbm_v1,0.1640796555,congestion,none
lgbm_stack,0.5764705882,0.5764520205,0.0959047796,0.9788809689,170,0.4361217390,contextual_lgbm_v1,0.2103671931,congestion,one_match_last_7d
lgbm_stack,0.7500000000,0.3263287474,0.2736309521,0.5847507665,4,0.5895535718,contextual_lgbm_v1,0.1510109869,congestion,two_plus_matches_last_7d
contextual_logistic,0.6666666667,0.5044365884,0.1070189663,0.8723257222,21,0.4818779766,contextual_logit_v1,0.1618502103,congestion,none
contextual_logistic,0.5647058824,0.5617464131,0.0588596163,0.9540107003,170,0.4393800289,contextual_logit_v1,0.2055906265,congestion,one_match_last_7d
contextual_logistic,0.7500000000,0.3476460200,0.2767052727,0.6181978615,4,0.5849420909,contextual_logit_v1,0.1605399764,congestion,two_plus_matches_last_7d
logistic_stack,0.6666666667,0.5168819594,0.1457590372,0.8954225136,21,0.4849165375,contextual_logit_v1,0.1637028494,congestion,none
logistic_stack,0.5882352941,0.5652903242,0.0518097980,0.9639341820,170,0.4406392886,contextual_logit_v1,0.2066255338,congestion,one_match_last_7d
logistic_stack,0.7500000000,0.3076404520,0.2582691511,0.5600304694,4,0.6125962733,contextual_logit_v1,0.1401233112,congestion,two_plus_matches_last_7d
poisson_official,0.6666666667,0.5207148308,0.1925261903,0.8868393146,21,0.4664219549,poisson_goal_v1,0.1675279352,congestion,none
poisson_official,0.5705882353,0.5604285055,0.0666225088,0.9589685018,170,0.4275704268,poisson_goal_v1,0.2022779363,congestion,one_match_last_7d
poisson_official,0.7500000000,0.3586598011,0.2950515525,0.6539873565,4,0.5574226712,poisson_goal_v1,0.1522466274,congestion,two_plus_matches_last_7d
lgbm_contextual,0.5897435897,0.5522785842,0.0541472071,0.9395070468,195,0.4569112014,contextual_lgbm_v1,0.2002524094,missingness,complete
lgbm_stack,0.5897435897,0.5655009476,0.0836640316,0.9623933281,195,0.4437713783,contextual_lgbm_v1,0.2041648182,missingness,complete
contextual_logistic,0.5794871795,0.5511827829,0.0480920982,0.9383253880,195,0.4469426194,contextual_logit_v1,0.1999560043,missingness,complete
logistic_stack,0.6000000000,0.5547919901,0.0510396729,0.9482707980,195,0.4489349305,contextual_logit_v1,0.2006389427,missingness,complete
poisson_official,0.5846153846,0.5520128030,0.0620194915,0.9449447197,195,0.4344180733,poisson_goal_v1,0.1975093452,missingness,complete
