canonical_team_id,source,source_name,valid_from,valid_to,notes
crimea,international_results_csv,Crimea,,,Exact observed source name from martj42/international_results.
croatia,international_results_csv,Croatia,,,Exact observed source name from martj42/international_results.
cuba,international_results_csv,Cuba,,,Exact observed source name from martj42/international_results.
curacao,international_results_csv,Curaçao,,,Exact observed source name from martj42/international_results.
cyprus,international_results_csv,Cyprus,,,Exact observed source name from martj42/international_results.
czech_republic,international_results_csv,Czech Republic,,,Exact observed source name from martj42/international_results.
czechoslovakia,international_results_csv,Czechoslovakia,,,Exact observed source name from martj42/international_results.
dr_congo,international_results_csv,DR Congo,,,Exact observed source name from martj42/international_results.
darfur,international_results_csv,Darfur,,,Exact observed source name from martj42/international_results.
denmark,international_results_csv,Denmark,,,Exact observed source name from martj42/international_results.
djibouti,international_results_csv,Djibouti,,,Exact observed source name from martj42/international_results.
dominica,international_results_csv,Dominica,,,Exact observed source name from martj42/international_results.
dominican_republic,international_results_csv,Dominican Republic,,,Exact observed source name from martj42/international_results.
donetsk_pr,international_results_csv,Donetsk PR,,,Exact observed source name from martj42/international_results.
delvidek,international_results_csv,Délvidék,,,Exact observed source name from martj42/international_results.
east_turkestan,international_results_csv,East Turkestan,,,Exact observed source name from martj42/international_results.
ecuador,international_results_csv,Ecuador,,,Exact observed source name from martj42/international_results.
egypt,international_results_csv,Egypt,,,Exact observed source name from martj42/international_results.
el_salvador,international_results_csv,El Salvador,,,Exact observed source name from martj42/international_results.
elba_island,international_results_csv,Elba Island,,,Exact observed source name from martj42/international_results.
ellan_vannin,international_results_csv,Ellan Vannin,,,Exact observed source name from martj42/international_results.
england,international_results_csv,England,,,Exact observed source name from martj42/international_results.
equatorial_guinea,international_results_csv,Equatorial Guinea,,,Exact observed source name from martj42/international_results.
eritrea,international_results_csv,Eritrea,,,Exact observed source name from martj42/international_results.
estonia,international_results_csv,Estonia,,,Exact observed source name from martj42/international_results.
eswatini,international_results_csv,Eswatini,,,Exact observed source name from martj42/international_results.
ethiopia,international_results_csv,Ethiopia,,,Exact observed source name from martj42/international_results.
falkland_islands,international_results_csv,Falkland Islands,,,Exact observed source name from martj42/international_results.
faroe_islands,international_results_csv,Faroe Islands,,,Exact observed source name from martj42/international_results.
felvidek,international_results_csv,Felvidék,,,Exact observed source name from martj42/international_results.
