source_fixture_id,prediction_id,prediction_created_at_utc,data_cutoff_utc,result_data_cutoff_utc,kickoff_utc,hours_before_kickoff,horizon_bucket,home_team_name,away_team_name,probability_home_win,probability_draw,probability_away_win,predicted_result,actual_result_90,metric_result_1x2,home_goals_90,away_goals_90,extra_time_played,home_goals_after_extra_time,away_goals_after_extra_time,penalty_shootout,home_penalty_goals,away_penalty_goals,qualification_winner,stage,official_selection_rule,model_name,model_version,dataset_revision,source_snapshot_checksum,historical_frequency_frozen_probability_home_win,historical_frequency_frozen_probability_draw,historical_frequency_frozen_probability_away_win,uniform_1x2_probability_home_win,uniform_1x2_probability_draw,uniform_1x2_probability_away_win
537427,85477b9458867662d885ef09,2026-07-03T14:10:40Z,2026-07-03T14:10:37.840863Z,2026-07-12T13:24:12.034941Z,2026-07-03T22:00:00Z,7.8222222222,6_to_24h,Argentina,Cape Verde Islands,0.8633708882,0.1058335747,0.0307955371,home_win,draw,draw,1,1,true,3,2,false,,,home,LAST_32,latest_valid_at_least_6h_before_kickoff,poisson,poisson_goal_v1,operational_dataset_v1:2824fdbf28e4446e,028f7ab359350066434d31d7308b8f8c3edd40b0b08577302fe3aa156dacb90f,0.4875409976,0.2246879925,0.2877710099,0.3333333333,0.3333333333,0.3333333333
537430,d491c19fb99ca794c444d95d,2026-07-03T17:28:27Z,2026-07-03T17:28:25.329766Z,2026-07-12T13:24:12.034941Z,2026-07-04T01:30:00Z,8.0258333333,6_to_24h,Colombia,Ghana,0.7512870215,0.1632183510,0.0854946275,home_win,home_win,home_win,1,0,false,,,false,,,home,LAST_32,latest_valid_at_least_6h_before_kickoff,poisson,poisson_goal_v1,operational_dataset_v1:d7edf7602be2e7a9,0502d6191d33d710c67bebc05a4feec895319b5baafc29ee0aca8e3052e32756,0.4875409976,0.2246879925,0.2877710099,0.3333333333,0.3333333333,0.3333333333
537376,5a5346c15d2ad12de6701408,2026-07-04T10:12:51Z,2026-07-04T10:12:49.254928Z,2026-07-12T13:24:12.034941Z,2026-07-04T17:00:00Z,6.7858333333,6_to_24h,Canada,Morocco,0.2268377746,0.3065280014,0.4666342239,away_win,away_win,away_win,0,3,false,,,false,,,away,LAST_16,latest_valid_at_least_6h_before_kickoff,poisson,poisson_goal_v1,operational_dataset_v1:003a2b53d753cbfb,d6503f320eeb84cb6857235d236d8840e47cc4281586d3c54cc5108e0139e2cd,0.4875409976,0.2246879925,0.2877710099,0.3333333333,0.3333333333,0.3333333333
537375,bfa3c11adc89b0f84accd503,2026-07-04T13:38:06Z,2026-07-04T13:38:03.829738Z,2026-07-12T13:24:12.034941Z,2026-07-04T21:00:00Z,7.3650000000,6_to_24h,Paraguay,France,0.1383196230,0.2183824499,0.6432979271,away_win,away_win,away_win,0,1,false,,,false,,,away,LAST_16,latest_valid_at_least_6h_before_kickoff,poisson,poisson_goal_v1,operational_dataset_v1:b6c6a7c376647bd8,e5d46dca85a62bf98bc027cee5cb6a644c04ba011f3d35653e5f5a6ccfc33bab,0.4875409976,0.2246879925,0.2877710099,0.3333333333,0.3333333333,0.3333333333
537377,5383022dab67a0729656aab0,2026-07-05T13:44:26Z,2026-07-05T13:44:24.056246Z,2026-07-12T13:24:12.034941Z,2026-07-05T20:00:00Z,6.2594444444,6_to_24h,Brazil,Norway,0.6162441755,0.1927209997,0.1910348247,home_win,away_win,away_win,1,2,false,,,false,,,away,LAST_16,latest_valid_at_least_6h_before_kickoff,poisson,poisson_goal_v1,operational_dataset_v1:37bb62fa2f4883e2,9e296454fa5d9eb8800871b6198fa16b6821feefa165951cf274ed09a247bd8f,0.4875409976,0.2246879925,0.2877710099,0.3333333333,0.3333333333,0.3333333333
537378,81d7c3697358d4ac8fb3edf5,2026-07-05T17:14:11Z,2026-07-05T17:14:08.794778Z,2026-07-12T13:24:12.034941Z,2026-07-06T01:00:00Z,6.7636111111,6_to_24h,Mexico,England,0.2209294442,0.2700363106,0.5090342452,away_win,away_win,away_win,2,3,false,,,false,,,away,LAST_16,latest_valid_at_least_6h_before_kickoff,poisson,poisson_goal_v1,operational_dataset_v1:6d60d31b44a7ff5d,9e296454fa5d9eb8800871b6198fa16b6821feefa165951cf274ed09a247bd8f,0.4875409976,0.2246879925,0.2877710099,0.3333333333,0.3333333333,0.3333333333
537379,906af66a573805171f494ada,2026-07-06T08:23:37Z,2026-07-06T08:23:34.839383Z,2026-07-12T13:24:12.034941Z,2026-07-06T19:00:00Z,10.6063888889,6_to_24h,Portugal,Spain,0.2846027325,0.2428024415,0.4725948260,away_win,away_win,away_win,0,1,false,,,false,,,away,LAST_16,latest_valid_at_least_6h_before_kickoff,poisson,poisson_goal_v1,operational_dataset_v1:3570bc4615202d10,1f6dff152e26afa066a103107f68933e16ca5cb7814335d9c0daf077b11cc2c0,0.4875409976,0.2246879925,0.2877710099,0.3333333333,0.3333333333,0.3333333333
537380,c4610a8b2a364685988b9c95,2026-07-06T15:38:19Z,2026-07-06T15:38:16.997203Z,2026-07-12T13:24:12.034941Z,2026-07-07T00:00:00Z,8.3613888889,6_to_24h,United States,Belgium,0.2253745432,0.2121312785,0.5624941783,away_win,away_win,away_win,1,4,false,,,false,,,away,LAST_16,latest_valid_at_least_6h_before_kickoff,poisson,poisson_goal_v1,operational_dataset_v1:08ed2e34bd06ab83,1f6dff152e26afa066a103107f68933e16ca5cb7814335d9c0daf077b11cc2c0,0.4875409976,0.2246879925,0.2877710099,0.3333333333,0.3333333333,0.3333333333
537381,ebea82808074a81e246aaa2d,2026-07-07T07:41:51Z,2026-07-07T07:41:49.165667Z,2026-07-12T13:24:12.034941Z,2026-07-07T16:00:00Z,8.3025000000,6_to_24h,Argentina,Egypt,0.6786932618,0.2233191323,0.0979876059,home_win,home_win,home_win,3,2,false,,,false,,,home,LAST_16,latest_valid_at_least_6h_before_kickoff,poisson,poisson_goal_v1,operational_dataset_v1:3993c58fe3ff9e20,37e41bd7d3d4d228ba8de97e9350bc0d538339ca69a82f147bac2052f3e9049f,0.4875409976,0.2246879925,0.2877710099,0.3333333333,0.3333333333,0.3333333333
537382,35172208d32f8dceb421ef40,2026-07-07T11:09:57Z,2026-07-07T11:09:54.158743Z,2026-07-12T13:24:12.034941Z,2026-07-07T20:00:00Z,8.8341666667,6_to_24h,Switzerland,Colombia,0.2705448396,0.2409881961,0.4884669644,away_win,draw,draw,0,0,true,0,0,true,4,3,home,LAST_16,latest_valid_at_least_6h_before_kickoff,poisson,poisson_goal_v1,operational_dataset_v1:7f16d07c6114fc3f,37e41bd7d3d4d228ba8de97e9350bc0d538339ca69a82f147bac2052f3e9049f,0.4875409976,0.2246879925,0.2877710099,0.3333333333,0.3333333333,0.3333333333
537383,d7721b75e7f27ec2d954513f,2026-07-09T11:07:10Z,2026-07-09T11:07:08.383290Z,2026-07-12T13:24:12.034941Z,2026-07-09T20:00:00Z,8.8805555556,6_to_24h,France,Morocco,0.3949036840,0.2964451574,0.3086511586,home_win,home_win,home_win,2,0,false,,,false,,,home,QUARTER_FINALS,latest_valid_at_least_6h_before_kickoff,poisson,poisson_goal_v1,operational_dataset_v1:d5e21bb2c5335f40,4ffe2c7171601b5e028638ef72264a70d3145b6252bc03bac3bc2140b794e9d0,0.4875409976,0.2246879925,0.2877710099,0.3333333333,0.3333333333,0.3333333333
537384,56222edbfef1e4d2513b858e,2026-07-10T10:57:20Z,2026-07-10T10:57:17.746313Z,2026-07-12T13:24:12.034941Z,2026-07-10T19:00:00Z,8.0444444444,6_to_24h,Spain,Belgium,0.5490560282,0.2264145883,0.2245293836,home_win,home_win,home_win,2,1,false,,,false,,,home,QUARTER_FINALS,latest_valid_at_least_6h_before_kickoff,poisson,poisson_goal_v1,operational_dataset_v1:f69b230555fc3877,d1c321084103780e261985d86f7d30cce64a4ed57378c434001d6f4493c08953,0.4875409976,0.2246879925,0.2877710099,0.3333333333,0.3333333333,0.3333333333
537385,851259d375b13f4823054a9f,2026-07-11T13:23:42Z,2026-07-11T13:23:39.908144Z,2026-07-12T13:24:12.034941Z,2026-07-11T21:00:00Z,7.6050000000,6_to_24h,Norway,England,0.2430736169,0.2306923317,0.5262340514,away_win,draw,draw,1,1,true,1,2,false,,,away,QUARTER_FINALS,latest_valid_at_least_6h_before_kickoff,poisson,poisson_goal_v1,operational_dataset_v1:7e3ec488f8ed1825,b22d50eca752055280cc6407d05a496122c0f92957b179d02859387843dc28a9,0.4875409976,0.2246879925,0.2877710099,0.3333333333,0.3333333333,0.3333333333
537386,1ac44890c53f7c9f7c74765c,2026-07-11T17:00:42Z,2026-07-11T17:00:40.317294Z,2026-07-12T13:24:12.034941Z,2026-07-12T01:00:00Z,7.9883333333,6_to_24h,Argentina,Switzerland,0.6131446348,0.2291094463,0.1577459189,home_win,draw,draw,1,1,true,3,1,false,,,home,QUARTER_FINALS,latest_valid_at_least_6h_before_kickoff,poisson,poisson_goal_v1,operational_dataset_v1:c38860a2c3e4897b,b22d50eca752055280cc6407d05a496122c0f92957b179d02859387843dc28a9,0.4875409976,0.2246879925,0.2877710099,0.3333333333,0.3333333333,0.3333333333
